K - %treino - mae - tempoProc

3 - 50.0 - 4,832062414796654 - 0,015956640243530273
3 - 60.0 - 4,777068483473573 - 0,012965679168701172
3 - 70.0 - 4,810626662636627 - 0,007963418960571289
3 - 80.0 - 4,717591879316409 - 0,004974842071533203
3 - 90.0 - 4,638457410668994 - 0,0029664039611816406
5 - 50.0 - 4,66449047464247 - 0,02294445037841797
5 - 60.0 - 4,647993650351444 - 0,01795172691345215
5 - 70.0 - 4,645868671874137 - 0,013946533203125
5 - 80.0 - 4,565409967925367 - 0,009922266006469727
5 - 90.0 - 4,456231494796413 - 0,005983829498291016
7 - 50.0 - 4,5747436539482464 - 0,034937143325805664
7 - 60.0 - 4,5635364548355755 - 0,025874614715576172
7 - 70.0 - 4,562705136454032 - 0,01893329620361328
7 - 80.0 - 4,517565593376243 - 0,013003349304199219
7 - 90.0 - 4,404242197413954 - 0,006946563720703125
9 - 50.0 - 4,51796739543756 - 0,04288601875305176
9 - 60.0 - 4,507221645081288 - 0,03290104866027832
9 - 70.0 - 4,5026781190130665 - 0,02692890167236328
9 - 80.0 - 4,474822692451664 - 0,016953229904174805
9 - 90.0 - 4,359634424028337 - 0,008961677551269531
11 - 50.0 - 4,499137444529377 - 0,04884505271911621
11 - 60.0 - 4,47770406899768 - 0,03887748718261719
11 - 70.0 - 4,464710905804059 - 0,03188157081604004
11 - 80.0 - 4,439070198972804 - 0,020945072174072266
11 - 90.0 - 4,328843827025461 - 0,01095128059387207
