K - %treino - mae - tempoProc
3 - 50.0 - 4,780637318971804 - 0,03492140769958496
3 - 60.0 - 4,722676316073168 - 0,03293776512145996
3 - 70.0 - 4,772305241242477 - 0,030933141708374023
3 - 80.0 - 4,6729263067761195 - 0,025943517684936523
3 - 90.0 - 4,571669175682696 - 0,022953033447265625
5 - 50.0 - 4,592380939960496 - 0,03992605209350586
5 - 60.0 - 4,596098083756943 - 0,03491997718811035
5 - 70.0 - 4,602113304986155 - 0,03191494941711426
5 - 80.0 - 4,524643481008878 - 0,027971506118774414
5 - 90.0 - 4,39362629229202 - 0,025976181030273438
7 - 50.0 - 4,5048758803803235 - 0,041922807693481445
7 - 60.0 - 4,516533089424262 - 0,038912296295166016
7 - 70.0 - 4,528383289057759 - 0,03590226173400879
7 - 80.0 - 4,49164838714743 - 0,03087592124938965
7 - 90.0 - 4,346862897918651 - 0,025954246520996094
9 - 50.0 - 4,445152827225888 - 0,0458834171295166
9 - 60.0 - 4,4622420524236395 - 0,04092574119567871
9 - 70.0 - 4,469893242959238 - 0,03889775276184082
9 - 80.0 - 4,453462974694013 - 0,03192901611328125
9 - 90.0 - 4,322880390755088 - 0,025964975357055664
11 - 50.0 - 4,443421602450609 - 0,04788780212402344
11 - 60.0 - 4,431904626867655 - 0,040891170501708984
11 - 70.0 - 4,424513826266864 - 0,03889775276184082
11 - 80.0 - 4,41455838594377 - 0,03190445899963379
11 - 90.0 - 4,29624633090732 - 0,025931358337402344
